Divisão;Livro;Capítulo;Versículos;Palavras;Caracteres
Velho Testamento;Gênesis;'1';31;726;3531
Velho Testamento;Gênesis;'2';25;574;2733
Velho Testamento;Gênesis;'3';24;588;2955
Velho Testamento;Gênesis;'4';26;596;2884
Velho Testamento;Gênesis;'5';32;495;2520
Velho Testamento;Gênesis;'6';22;525;2714
Velho Testamento;Gênesis;'7';24;553;2770
Velho Testamento;Gênesis;'8';22;531;2630
Velho Testamento;Gênesis;'9';29;612;3076
Velho Testamento;Gênesis;'10';32;465;2400
Velho Testamento;Gênesis;'11';32;588;2889
Velho Testamento;Gênesis;'12';20;466;2375
Velho Testamento;Gênesis;'13';18;417;2086
Velho Testamento;Gênesis;'14';24;571;2924
Velho Testamento;Gênesis;'15';21;405;2100
Velho Testamento;Gênesis;'16';16;384;1934
Velho Testamento;Gênesis;'17';27;626;3347
Velho Testamento;Gênesis;'18';33;754;4014
Velho Testamento;Gênesis;'19';38;988;5253
Velho Testamento;Gênesis;'20';18;453;2391
Velho Testamento;Gênesis;'21';34;668;3487
Velho Testamento;Gênesis;'22';24;558;2899
Velho Testamento;Gênesis;'23';20;469;2435
Velho Testamento;Gênesis;'24';67;1634;8390
Velho Testamento;Gênesis;'25';34;649;3445
Velho Testamento;Gênesis;'26';35;775;4267
Velho Testamento;Gênesis;'27';46;1133;5807
Velho Testamento;Gênesis;'28';22;538;2682
Velho Testamento;Gênesis;'29';35;757;3821
Velho Testamento;Gênesis;'30';43;906;4812
Velho Testamento;Gênesis;'31';55;1300;6775
Velho Testamento;Gênesis;'32';32;709;3694
Velho Testamento;Gênesis;'33';20;464;2430
Velho Testamento;Gênesis;'34';31;686;3732
Velho Testamento;Gênesis;'35';29;599;3115
Velho Testamento;Gênesis;'36';43;830;4287
Velho Testamento;Gênesis;'37';36;803;4358
Velho Testamento;Gênesis;'38';30;740;3784
Velho Testamento;Gênesis;'39';23;588;2972
Velho Testamento;Gênesis;'40';23;517;2723
Velho Testamento;Gênesis;'41';57;1257;6461
Velho Testamento;Gênesis;'42';38;851;4670
Velho Testamento;Gênesis;'43';34;829;4622
Velho Testamento;Gênesis;'44';34;780;4063
Velho Testamento;Gênesis;'45';28;698;3564
Velho Testamento;Gênesis;'46';34;701;3546
Velho Testamento;Gênesis;'47';31;900;4634
Velho Testamento;Gênesis;'48';22;609;3112
